itemId,postalCode,location
223625082965,277**,"Durham,NC,USA"
233528536470,402**,"Louisville,KY,USA"
224046849689,917**,"Covina,CA,USA"
124048440434,*******,Japan
323949049592,981**,"Seattle,WA,USA"
203042903644,483**,"Utica,MI,USA"
383464735127,,USA
333649064177,452**,"Cincinnati,OH,USA"
153973038059,*******,Japan
153973042538,*******,Japan
281564839284,705**,"Lafayette,LA,USA"
112444812805,,China
112444812880,,China
312770079278,,Japan
273808475865,302**,"Lovejoy,GA,USA"
283453364316,302**,"Lovejoy,GA,USA"
184293982216,,China
274098733677,049**,"Garland,ME,USA"
283582099396,,China
202936226619,282**,"Charlotte,NC,USA"
153973067982,*******,Japan
254513859949,*******,Japan
313141415981,190**,"Bala Cynwyd,PA,USA"
174344896176,445**,"Youngstown,OH,USA"
254536142755,049**,"Rangeley,ME,USA"
153973076988,*******,Japan
392866863818,344**,"Ocala,FL,USA"
254536757423,049**,"Rangeley,ME,USA"
254535860845,049**,"Rangeley,ME,USA"
153973089363,*******,Japan
143473158617,,Japan
360272941220,917**,"El Monte,CA,USA"
274422441400,640**,"Independence,MO,USA"
264663736966,049**,"Rangeley,ME,USA"
153973114050,*******,Japan
133439788374,5000,Australia
283916029315,,Japan
333649130299,945**,"Pleasanton,CA,USA"
254482858725,201**,"Chantilly,VA,USA"
223327596374,,Singapore
262896884692,******,China
223327617402,,Singapore
223327618407,,Singapore
184083597807,440**,"Chesterland,OH,USA"
383052533403,,China
223797343050,,China
383321993648,,China
383321993650,917**,"Rowland Heights,CA,USA"
383321993655,917**,"Rowland Heights,CA,USA"
383321993658,******,China
202800957316,088**,"Dayton,NJ,USA"
333440029927,922**,"Calexico,CA,USA"
274145136540,*******,Japan
223752127603,*******,Japan
274422534372,,"Croatia, Republic of"
283916115768,088**,USA
283916116495,088**,USA
202800972471,088**,"Dayton,NJ,USA"
262897020230,******,China
163991331915,331**,"Miami,FL,USA"
163991333244,331**,"Miami,FL,USA"
183181230077,,China
283916192368,*******,Japan
133439976830,917**,"City of Industry,CA,USA"
332345845902,,"Korea, South"
383373756596,,USA
164202316395,******,Netherlands
392728579457,088**,"Dayton,NJ,USA"
264633306380,049**,"Rangeley,ME,USA"
164247065424,917**,"City of Industry,CA,USA"
283849425792,,Japan
112942838572,*****,"Korea, South"
112942842530,*****,"Korea, South"
112942851047,*****,"Korea, South"
112942862942,*****,"Korea, South"
324200073074,488**,"Haslett,MI,USA"
254648479271,2122,Australia
402297395525,******,Netherlands
401750627534,******,Netherlands
254645712034,185**,"Scranton,PA,USA"
264790466291,117**,"Bethpage,NY,USA"
292965418825,549**,"Almond,WI,USA"
292965421091,549**,"Almond,WI,USA"
353134193726,776**,"Orange,TX,USA"
174318759879,306**,"Bogart,GA,USA"
303489319642,,China
302285371591,,China
172376843985,,China
111851528462,,China
303489346452,,China
254627001583,,Russian Federation
183849739106,,China
111383568923,,China
164034264193,*******,Japan
293581995863,805**,"Loveland,CO,USA"
254299423445,166**,"Duncansville,PA,USA"
264701893499,544**,"Stevens Point,WI,USA"
383592596284,462**,"Indianapolis,IN,USA"
283942763692,129**,"Plattsburgh,NY,USA"
123493904230,,China
264765854081,728**,"Russellville,AR,USA"
233646612278,,Switzerland
233646612281,,Switzerland
122551442261,,China
122551442317,,China
112445445739,,China
122551442576,,China
112445445905,,China
132229262407,,China
283784972567,333**,"Fort Lauderdale,FL,USA"
222798683873,277**,"Durham,NC,USA"
274399178917,,United Kingdom
193570984320,231**,"Williamsburg,VA,USA"
153934901272,*******,Japan
303618877589,468**,"Fort Wayne,IN,USA"
333548073809,109**,"Middletown,NY,USA"
263819123764,980**,"Woodinville,WA,USA"
362387364473,980**,"Woodinville,WA,USA"
332722601107,980**,"Woodinville,WA,USA"
184330777240,******,Netherlands
283341292431,,Bulgaria
274367718861,223**,"Alexandria,VA,USA"
183849859717,271**,"Winston-Salem,NC,USA"
184330791050,******,Netherlands
153934936304,*******,Japan
264765930891,728**,"Russellville,AR,USA"
153900078797,672**,"Wichita,KS,USA"
153934951436,*******,Japan
133336093758,386**,"Southaven,MS,USA"
223856681685,277**,"Durham,NC,USA"
